Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Grenada,15798.1978,16730.5983,17591.6085,18043.1486,18644.88,19264.5164,19208.3616,16396.6151,17007.7362,17961.9082
 Guatemala,12617.1464,12777.5113,12907.5244,12866.9614,12883.2748,12955.8825,13118.54,12536.4967,13183.2467,13380.8942
 Guinea,3843.2749,3862.0875,3882.7231,4163.5095,4442.4479,4571.9286,4672.0668,4744.6652,4777.8874,4853.1201
 Guinea-Bissau,3181.4476,3117.4001,3210.638,3310.2407,3401.2821,3341.5591,3387.2007,3208.5689,3235.0938,3252.5124
 Guyana,16467.6923,16552.8813,16470.1934,16895.46,17321.9954,17340.8264,17801.1082,25521.0128,30205.0397,48931.0135
 Haiti,4901.795,4928.9641,4887.6553,4869.4051,4886.8775,4866.4759,4686.4729,4442.1148,4280.182,4132.5973
 Honduras,8079.2567,8063.7088,8113.4042,8172.304,8311.6074,8376.4323,8347.3854,7384.4196,8089.5071,8198.9883
 Hong Kong,56326.3501,57220.2746,57921.1192,58668.8997,60567.5272,62042.205,60846.7824,56768.7971,60364.4547,58217.6018
 Hungary,23657.232,25577.5974,26932.4034,27821.5036,29072.5427,30666.6759,32172.5515,30789.0918,33125.3408,33787.1033
 Iceland,59826.3785,59890.7564,61587.7784,64198.552,64887.9213,65782.3239,65206.7936,59374.7336,61348.0776,65243.0998
 India,7087.5294,7460.0973,7897.8465,8373.8115,8761.4088,9144.4583,9319.1617,8615.4359,9242.8095,9767.8978
 Indonesia,14581.1514,14928.5409,15071.5124,15590.4515,16135.7582,16722.2546,17314.3484,16743.1915,17179.9827,17914.2621
 Iran,17287.506,17794.5733,17228.7831,18454.5855,18705.165,18130.1219,17366.4214,17765.7631,18437.506,18959.3083
 Iraq,16776.6294,16141.7702,16349.8708,18027.875,17151.7954,17032.5322,17394.69,14819.1234,14599.8937,15164.8263
 Ireland,64670.1068,69884.8809,86113.9401,86585.7443,93366.2542,99687.7086,103257.3995,108580.0636,123581.2328,133745.9085
 Isle of Man,90343.6823,95064.6453,94856.1667,101337.4356,103631.3514,105223.9419,104847.2059,95112.564,86113.506,74083.8641
 Israel,51069.1566,52211.3583,52648.0679,54106.691,55452.4298,56707.6944,58026.3187,55958.8112,59738.5593,62760.7896
 Italy,40533.048,40410.0891,40732.9384,41277.5961,41976.7743,42370.8565,42582.2538,38812.8285,42118.4729,43730.3088
 Jamaica,12740.5844,12595.5038,12494.6028,12475.6373,12429.7151,12501.8718,12468.0863,11101.9199,11492.8335,12005.3579
 Japan,39296.7193,39417.9578,40040.4785,40359.3446,41060.6157,41361.1284,41242.1739,39548.572,40488.3085,41006.3132
 Jordan,18353.7692,16732.5652,15487.368,14885.8612,14724.4178,14524.1759,14335.1309,13771.3811,13888.8181,13954.437
 Kazakhstan,29865.0875,30754.8198,30816.3651,30899.8691,31944.975,33068.3107,34400.4673,33409.6941,34753.4505,35776.3908
 Kenya,7204.9412,7336.0269,7472.5388,7557.4849,7616.0671,7814.1751,7979.3482,7728.2826,8078.2376,8231.2153
 Kiribati,3098.3147,3007.0724,3240.42,3159.6615,3100.8173,3194.224,3064.2257,2951.8807,3118.5382,3109.2043
 Korea,39929.5719,40738.7565,41668.6324,42384.4492,43225.2414,44014.4972,44556.544,43867.0089,45450.0604,46400.4462
 Kosovo,9106.429,9543.5975,10199.2491,10799.8243,11429.5575,11974.8539,12738.2283,12187.2623,13571.0556,14296.1601
 Kuwait,67628.4973,65761.2585,63419.8004,62837.7703,58669.0857,57104.1618,55007.5935,51103.8049,53117.3848,57468.3474
 Kyrgyzstan,6785.1556,6944.1793,7092.7523,7276.4702,7506.3508,7687.1311,7948.7522,7292.4131,7595.2219,7965.6343
 Lao PDR,9031.3944,9468.8389,9910.3752,10355.0318,10805.5119,11207.1442,11536.0908,11319.989,11344.4862,11401.7544
 Latin America,20330.6,20259,19945.5,19496.2,19458.8,19437.8,19228.1,17693.7,18708.3,19210.2
 Latvia,26010.4698,26777.2063,28133.8,29158.323,30518.2932,32151.8939,32722.7905,31919.4314,34527.686,36181.8057
 Lebanon,17819.3421,16432.002,16218.1685,17015.0838,17795.7379,18155.6384,17628.6667,14219.6882,13348.5789,13577.1098
 Lesotho,4094.2545,4095.8805,4152.3666,4225.7768,4017.8327,3886.0699,3763.5936,3423.6691,3432.7609,3423.8752
 Liberia,2966.9273,2934.8948,2878.367,2777.2449,2790.7488,2764.8402,2636.2393,2493.8205,2549.5633,2599.0251
 Libya,37530.2306,28244.6266,27488.3384,26583.3638,34505.2438,36437.0569,31693.5605,21818.0882,28113.7849,27239.7336
 Liechtenstein,147053.9158,149755.605,148185.4631,149988.5389,153093.2214,152924.4334,152031.923,149548.7364,149061.3172,151933.1295
 Lithuania,30184.1318,31487.3376,32388.142,33489.1401,35224.152,36942.649,38985.5375,39351.2837,42361.1709,44056.3052
